season,started_month,started_day,weekday_type,started_hour_of_day,formatted_hour,member_casual,total_count,avg_duration,avg_distance
Fall,Oct,Thursday,weekday,13,1 PM,casual,1496,18.96,1.36
Summer,Jun,Friday,weekday,22,10 PM,casual,1495,19.27,1.47
Fall,Nov,Thursday,weekday,9,9 AM,member,1495,9.84,1.23
Summer,Jul,Monday,weekday,11,11 AM,casual,1494,27.86,1.43
Fall,Nov,Sunday,weekend,18,6 PM,member,1493,9.88,1.21
Spring,Apr,Wednesday,weekday,13,1 PM,member,1490,10.15,1.12
Summer,Aug,Monday,weekday,12,12 PM,casual,1489,25.11,1.49
Fall,Nov,Monday,weekday,11,11 AM,member,1487,10.49,1.17
Spring,Mar,Friday,weekday,12,12 PM,member,1485,9.6,1.09
Spring,May,Saturday,weekend,22,10 PM,casual,1484,18.66,1.39
Spring,Apr,Monday,weekday,6,6 AM,member,1484,9.13,1.32
Spring,May,Tuesday,weekday,21,9 PM,member,1481,11.53,1.47
Fall,Sep,Tuesday,weekday,13,1 PM,casual,1481,19.05,1.27
Summer,Aug,Wednesday,weekday,22,10 PM,member,1481,13.07,1.67
Spring,Mar,Thursday,weekday,13,1 PM,member,1481,10.02,1.12
Summer,Aug,Saturday,weekend,7,7 AM,member,1478,13.52,1.59
Winter,Dec,Monday,weekday,15,3 PM,member,1476,11.67,1.15
Fall,Nov,Sunday,weekend,11,11 AM,casual,1475,21.71,1.5
Spring,Apr,Saturday,weekend,19,7 PM,casual,1473,21.29,1.28
Spring,Mar,Wednesday,weekday,12,12 PM,member,1472,9.92,1.14
Winter,Dec,Friday,weekday,7,7 AM,member,1470,11.17,1.31
Spring,May,Wednesday,weekday,22,10 PM,member,1470,14.25,1.51
Winter,Feb,Tuesday,weekday,9,9 AM,member,1470,10.57,1.2
Spring,Mar,Sunday,weekend,14,2 PM,casual,1469,28.43,1.52
Spring,May,Thursday,weekday,20,8 PM,casual,1465,15.58,1.42
Spring,May,Thursday,weekday,14,2 PM,casual,1465,25.16,1.46
Fall,Oct,Saturday,weekend,19,7 PM,casual,1465,17.43,1.27
Spring,May,Thursday,weekday,13,1 PM,casual,1464,24.6,1.36
Summer,Aug,Tuesday,weekday,14,2 PM,casual,1463,20.22,1.52
Spring,May,Wednesday,weekday,13,1 PM,casual,1463,21.0,1.41
Winter,Feb,Friday,weekday,7,7 AM,member,1463,10.09,1.3
Winter,Dec,Sunday,weekend,14,2 PM,member,1461,12.09,1.28
Fall,Oct,Tuesday,weekday,8,8 AM,casual,1457,11.44,1.22
Summer,Jun,Thursday,weekday,11,11 AM,casual,1457,25.87,1.5
Fall,Nov,Saturday,weekend,19,7 PM,member,1456,12.0,1.27
Summer,Jun,Monday,weekday,13,1 PM,casual,1456,25.89,1.49
Summer,Jul,Friday,weekday,6,6 AM,member,1455,13.05,1.58
Spring,Mar,Saturday,weekend,11,11 AM,casual,1455,25.0,1.5
Spring,May,Sunday,weekend,20,8 PM,member,1454,14.44,1.29
Fall,Nov,Friday,weekday,16,4 PM,casual,1454,15.79,1.25
Spring,Apr,Sunday,weekend,18,6 PM,casual,1452,22.5,1.3
Spring,Mar,Thursday,weekday,14,2 PM,member,1451,10.45,1.19
Winter,Feb,Thursday,weekday,11,11 AM,member,1451,10.28,1.13
Spring,May,Thursday,weekday,12,12 PM,casual,1449,22.87,1.51
Summer,Jul,Monday,weekday,21,9 PM,casual,1446,17.97,1.41
Fall,Nov,Monday,weekday,10,10 AM,member,1446,10.46,1.2
Spring,May,Saturday,weekend,21,9 PM,member,1444,14.46,1.46
Fall,Oct,Friday,weekday,11,11 AM,casual,1443,25.09,1.56
Winter,Dec,Friday,weekday,19,7 PM,member,1443,11.18,1.22
Fall,Oct,Friday,weekday,21,9 PM,member,1442,13.01,1.41
Winter,Feb,Friday,weekday,14,2 PM,member,1442,11.74,1.19
Fall,Nov,Sunday,weekend,14,2 PM,casual,1442,21.51,1.47
Spring,Apr,Wednesday,weekday,20,8 PM,member,1441,10.91,1.22
Fall,Nov,Saturday,weekend,15,3 PM,casual,1441,18.99,1.4
Fall,Nov,Saturday,weekend,12,12 PM,casual,1441,21.39,1.49
Winter,Dec,Thursday,weekday,13,1 PM,member,1441,10.58,1.14
Summer,Jul,Wednesday,weekday,11,11 AM,casual,1441,25.32,1.49
Summer,Jul,Tuesday,weekday,11,11 AM,casual,1438,26.0,1.45
Spring,Apr,Friday,weekday,10,10 AM,member,1435,9.9,1.17
Summer,Jun,Monday,weekday,12,12 PM,casual,1435,25.1,1.52
Fall,Sep,Tuesday,weekday,12,12 PM,casual,1434,18.24,1.27
Fall,Oct,Thursday,weekday,12,12 PM,casual,1431,23.33,1.32
Spring,Mar,Sunday,weekend,15,3 PM,casual,1431,25.85,1.4
Spring,May,Saturday,weekend,20,8 PM,casual,1431,21.64,1.31
Spring,Mar,Monday,weekday,13,1 PM,member,1430,10.6,1.08
Summer,Jun,Thursday,weekday,21,9 PM,casual,1429,17.39,1.45
Spring,Mar,Wednesday,weekday,13,1 PM,member,1428,10.11,1.14
Winter,Dec,Wednesday,weekday,14,2 PM,member,1426,11.05,1.2
Winter,Dec,Sunday,weekend,13,1 PM,member,1426,10.89,1.18
Winter,Feb,Tuesday,weekday,12,12 PM,member,1425,10.73,1.14
Spring,Apr,Wednesday,weekday,11,11 AM,member,1424,10.58,1.12
Spring,Apr,Monday,weekday,15,3 PM,casual,1423,22.58,1.42
Fall,Oct,Wednesday,weekday,19,7 PM,casual,1423,12.89,1.28
Spring,Mar,Tuesday,weekday,12,12 PM,member,1422,9.67,1.06
Fall,Sep,Wednesday,weekday,9,9 AM,casual,1419,14.32,1.21
Summer,Aug,Thursday,weekday,8,8 AM,casual,1417,12.79,1.27
Winter,Feb,Sunday,weekend,12,12 PM,member,1417,12.31,1.32
Summer,Aug,Monday,weekday,20,8 PM,casual,1416,16.22,1.39
Winter,Dec,Sunday,weekend,11,11 AM,member,1414,10.89,1.19
Summer,Aug,Tuesday,weekday,13,1 PM,casual,1412,22.18,1.47
Spring,Mar,Monday,weekday,12,12 PM,member,1411,9.51,1.02
Winter,Feb,Sunday,weekend,13,1 PM,member,1411,13.37,1.39
Winter,Dec,Sunday,weekend,12,12 PM,member,1410,11.55,1.18
Spring,Apr,Thursday,weekday,11,11 AM,member,1409,11.69,1.19
Winter,Feb,Wednesday,weekday,14,2 PM,member,1409,11.84,1.23
Summer,Jul,Thursday,weekday,22,10 PM,casual,1408,16.88,1.37
Summer,Jun,Saturday,weekend,8,8 AM,casual,1406,19.35,1.57
Fall,Nov,Tuesday,weekday,10,10 AM,member,1404,9.25,1.15
Summer,Jul,Sunday,weekend,21,9 PM,member,1403,12.85,1.47
Spring,Apr,Monday,weekday,13,1 PM,casual,1401,24.48,1.33
Summer,Aug,Friday,weekday,8,8 AM,casual,1398,14.31,1.36
Summer,Jun,Wednesday,weekday,22,10 PM,casual,1396,18.56,1.58
Spring,Mar,Thursday,weekday,12,12 PM,member,1393,9.38,1.05
Fall,Nov,Saturday,weekend,16,4 PM,casual,1392,18.46,1.34
Fall,Oct,Monday,weekday,14,2 PM,casual,1392,22.18,1.44
Spring,Mar,Sunday,weekend,13,1 PM,casual,1392,27.29,1.48
Summer,Jul,Saturday,weekend,23,11 PM,casual,1391,22.18,1.47
Fall,Oct,Thursday,weekday,8,8 AM,casual,1390,11.15,1.19
Summer,Jul,Tuesday,weekday,22,10 PM,member,1390,12.68,1.6
Winter,Jan,Monday,weekday,15,3 PM,member,1390,10.22,1.07
Fall,Nov,Wednesday,weekday,10,10 AM,member,1387,9.42,1.15
Spring,Mar,Tuesday,weekday,13,1 PM,member,1387,9.9,1.13
Spring,May,Friday,weekday,22,10 PM,casual,1387,19.08,1.39
