season,started_month,started_day,weekday_type,started_hour_of_day,formatted_hour,member_casual,total_count,avg_duration,avg_distance
Summer,Jul,Wednesday,weekday,17,5 PM,member,9329,14.34,1.58
Fall,Sep,Wednesday,weekday,17,5 PM,member,9053,12.84,1.55
Spring,May,Wednesday,weekday,17,5 PM,member,8884,14.27,1.61
Fall,Sep,Monday,weekday,17,5 PM,member,8848,12.45,1.47
Fall,Oct,Wednesday,weekday,17,5 PM,member,8709,12.73,1.54
Fall,Sep,Thursday,weekday,17,5 PM,member,8679,12.62,1.52
Summer,Aug,Thursday,weekday,17,5 PM,member,8548,13.25,1.56
Summer,Jul,Tuesday,weekday,17,5 PM,member,8208,13.87,1.57
Summer,Jul,Monday,weekday,17,5 PM,member,8185,13.59,1.54
Fall,Oct,Tuesday,weekday,17,5 PM,member,8181,12.57,1.56
Fall,Sep,Tuesday,weekday,17,5 PM,member,8165,12.64,1.51
Fall,Oct,Thursday,weekday,17,5 PM,member,8123,12.31,1.51
Summer,Aug,Wednesday,weekday,17,5 PM,member,7574,13.34,1.61
Summer,Jul,Wednesday,weekday,16,4 PM,member,7455,13.03,1.57
Fall,Oct,Wednesday,weekday,16,4 PM,member,7284,11.97,1.49
Summer,Jun,Wednesday,weekday,17,5 PM,member,7261,14.17,1.63
Summer,Jun,Thursday,weekday,17,5 PM,member,7253,13.56,1.59
Spring,May,Wednesday,weekday,16,4 PM,member,7178,13.73,1.61
Fall,Sep,Wednesday,weekday,16,4 PM,member,7147,12.38,1.49
Summer,Jul,Wednesday,weekday,18,6 PM,member,7116,13.44,1.53
Fall,Sep,Monday,weekday,16,4 PM,member,7081,11.88,1.42
Summer,Jun,Tuesday,weekday,17,5 PM,member,7046,13.67,1.6
Summer,Aug,Tuesday,weekday,17,5 PM,member,7000,12.8,1.54
Fall,Oct,Thursday,weekday,16,4 PM,member,6905,11.95,1.5
Fall,Sep,Monday,weekday,18,6 PM,member,6884,12.12,1.37
Fall,Sep,Thursday,weekday,16,4 PM,member,6877,12.41,1.52
Fall,Sep,Wednesday,weekday,18,6 PM,member,6876,12.27,1.45
Fall,Oct,Tuesday,weekday,16,4 PM,member,6813,11.95,1.49
Spring,May,Thursday,weekday,17,5 PM,member,6808,13.79,1.58
Summer,Aug,Thursday,weekday,18,6 PM,member,6726,12.53,1.47
Summer,Aug,Friday,weekday,17,5 PM,member,6689,13.64,1.56
Summer,Aug,Thursday,weekday,16,4 PM,member,6678,12.95,1.56
Fall,Sep,Thursday,weekday,18,6 PM,member,6648,12.29,1.45
Fall,Sep,Wednesday,weekday,8,8 AM,member,6613,11.21,1.43
Summer,Jun,Monday,weekday,17,5 PM,member,6609,13.06,1.55
Summer,Jul,Tuesday,weekday,16,4 PM,member,6604,12.78,1.56
Summer,Jul,Monday,weekday,18,6 PM,member,6554,12.81,1.44
Fall,Sep,Tuesday,weekday,16,4 PM,member,6510,12.12,1.5
Summer,Aug,Monday,weekday,17,5 PM,member,6501,12.44,1.51
Fall,Oct,Tuesday,weekday,8,8 AM,member,6498,11.3,1.48
Spring,May,Wednesday,weekday,18,6 PM,member,6474,13.31,1.51
Fall,Oct,Wednesday,weekday,8,8 AM,member,6470,10.85,1.46
Fall,Sep,Friday,weekday,17,5 PM,member,6459,12.73,1.45
Fall,Sep,Thursday,weekday,8,8 AM,member,6427,10.87,1.44
Spring,May,Friday,weekday,17,5 PM,member,6363,13.91,1.52
Summer,Jul,Tuesday,weekday,8,8 AM,member,6361,11.77,1.52
Summer,Jul,Tuesday,weekday,18,6 PM,member,6315,12.82,1.49
Fall,Oct,Wednesday,weekday,18,6 PM,member,6301,12.18,1.43
Spring,Apr,Tuesday,weekday,17,5 PM,member,6217,13.36,1.52
Summer,Jul,Thursday,weekday,17,5 PM,member,6214,13.97,1.61
Summer,Jul,Monday,weekday,16,4 PM,member,6045,12.48,1.51
Spring,Apr,Monday,weekday,17,5 PM,member,6028,13.02,1.48
Summer,Aug,Friday,weekday,16,4 PM,member,6020,13.06,1.52
Summer,Aug,Saturday,weekend,15,3 PM,casual,6014,25.77,1.71
Spring,Apr,Tuesday,weekday,16,4 PM,member,5984,12.74,1.57
Summer,Aug,Wednesday,weekday,16,4 PM,member,5913,12.98,1.57
Fall,Sep,Tuesday,weekday,8,8 AM,member,5907,11.28,1.41
Summer,Aug,Wednesday,weekday,18,6 PM,member,5904,13.45,1.54
Spring,May,Tuesday,weekday,17,5 PM,member,5886,13.06,1.49
Spring,May,Friday,weekday,16,4 PM,member,5827,13.06,1.51
Fall,Oct,Thursday,weekday,18,6 PM,member,5826,11.5,1.41
Fall,Sep,Tuesday,weekday,18,6 PM,member,5820,12.02,1.43
Fall,Oct,Thursday,weekday,8,8 AM,member,5799,10.88,1.45
Summer,Jun,Wednesday,weekday,16,4 PM,member,5791,14.01,1.62
Summer,Jun,Wednesday,weekday,18,6 PM,member,5783,14.14,1.58
Summer,Aug,Friday,weekday,18,6 PM,member,5772,13.36,1.51
Fall,Oct,Monday,weekday,17,5 PM,member,5771,12.89,1.48
Fall,Sep,Friday,weekday,16,4 PM,member,5766,11.98,1.44
Spring,May,Wednesday,weekday,8,8 AM,member,5681,11.65,1.52
Spring,May,Friday,weekday,18,6 PM,member,5672,13.42,1.47
Fall,Oct,Tuesday,weekday,18,6 PM,member,5664,11.42,1.41
Summer,Aug,Saturday,weekend,13,1 PM,casual,5647,26.88,1.71
Summer,Jul,Wednesday,weekday,8,8 AM,member,5615,11.59,1.5
Summer,Jun,Tuesday,weekday,18,6 PM,member,5606,13.02,1.52
Summer,Aug,Tuesday,weekday,16,4 PM,member,5605,12.31,1.54
Summer,Jun,Tuesday,weekday,16,4 PM,member,5590,12.77,1.58
Summer,Jun,Thursday,weekday,16,4 PM,member,5569,13.05,1.55
Summer,Jul,Friday,weekday,17,5 PM,member,5569,14.03,1.55
Summer,Aug,Tuesday,weekday,18,6 PM,member,5556,12.52,1.46
Summer,Jun,Friday,weekday,17,5 PM,member,5527,13.69,1.53
Summer,Jun,Sunday,weekend,15,3 PM,casual,5521,26.49,1.7
Fall,Sep,Monday,weekday,8,8 AM,member,5508,10.68,1.39
Summer,Aug,Saturday,weekend,14,2 PM,casual,5471,25.97,1.72
Summer,Aug,Saturday,weekend,12,12 PM,casual,5447,26.49,1.71
Summer,Jun,Sunday,weekend,14,2 PM,casual,5429,26.58,1.68
Fall,Oct,Friday,weekday,17,5 PM,member,5425,12.71,1.48
Fall,Sep,Sunday,weekend,15,3 PM,casual,5420,23.21,1.61
Fall,Sep,Friday,weekday,18,6 PM,member,5416,12.38,1.41
Summer,Jun,Sunday,weekend,16,4 PM,casual,5414,25.31,1.68
Summer,Jun,Thursday,weekday,18,6 PM,member,5414,13.28,1.51
Summer,Jul,Wednesday,weekday,19,7 PM,member,5395,13.52,1.46
Spring,May,Thursday,weekday,16,4 PM,member,5391,12.92,1.53
Summer,Aug,Saturday,weekend,16,4 PM,casual,5376,24.2,1.66
Spring,May,Thursday,weekday,18,6 PM,member,5333,13.19,1.49
Summer,Jun,Monday,weekday,18,6 PM,member,5304,12.82,1.43
Fall,Sep,Wednesday,weekday,7,7 AM,member,5300,11.08,1.49
Summer,Jul,Tuesday,weekday,7,7 AM,member,5257,11.9,1.58
Summer,Jun,Sunday,weekend,13,1 PM,casual,5219,27.07,1.65
Fall,Sep,Tuesday,weekday,7,7 AM,member,5205,11.31,1.48
Summer,Jul,Thursday,weekday,16,4 PM,member,5192,13.92,1.6
Summer,Aug,Monday,weekday,18,6 PM,member,5192,12.6,1.42
Summer,Jul,Saturday,weekend,14,2 PM,casual,5191,27.94,1.73
Summer,Aug,Friday,weekday,15,3 PM,member,5123,12.69,1.47
Fall,Sep,Thursday,weekday,7,7 AM,member,5070,11.32,1.53
Fall,Oct,Wednesday,weekday,7,7 AM,member,5061,10.87,1.48
Summer,Jul,Saturday,weekend,15,3 PM,casual,5040,25.25,1.65
Summer,Aug,Thursday,weekday,8,8 AM,member,4993,11.09,1.43
Summer,Jul,Thursday,weekday,18,6 PM,member,4990,14.24,1.57
Summer,Jul,Saturday,weekend,16,4 PM,casual,4985,26.0,1.7
Fall,Sep,Monday,weekday,15,3 PM,member,4980,12.46,1.38
Spring,Apr,Tuesday,weekday,8,8 AM,member,4979,12.26,1.49
Fall,Oct,Friday,weekday,16,4 PM,member,4965,12.43,1.48
Summer,Jun,Monday,weekday,16,4 PM,member,4931,12.91,1.55
Summer,Jul,Friday,weekday,16,4 PM,member,4909,13.29,1.54
Summer,Aug,Wednesday,weekday,8,8 AM,member,4909,11.46,1.48
Summer,Aug,Saturday,weekend,17,5 PM,casual,4908,23.65,1.63
Summer,Aug,Saturday,weekend,11,11 AM,casual,4908,27.39,1.74
Summer,Aug,Monday,weekday,16,4 PM,member,4903,12.01,1.48
Summer,Jul,Saturday,weekend,13,1 PM,casual,4897,28.5,1.74
Fall,Sep,Sunday,weekend,16,4 PM,casual,4871,21.9,1.47
Fall,Oct,Tuesday,weekday,7,7 AM,member,4858,11.72,1.54
Spring,May,Thursday,weekday,8,8 AM,member,4850,12.07,1.54
Summer,Jun,Friday,weekday,16,4 PM,member,4848,13.51,1.52
Summer,Jun,Sunday,weekend,12,12 PM,casual,4846,27.35,1.64
Summer,Aug,Thursday,weekday,19,7 PM,member,4837,13.19,1.5
Summer,Jun,Sunday,weekend,16,4 PM,member,4822,15.82,1.63
Summer,Aug,Saturday,weekend,15,3 PM,member,4816,15.5,1.65
Spring,May,Wednesday,weekday,7,7 AM,member,4793,11.93,1.59
Summer,Jun,Sunday,weekend,13,1 PM,member,4790,15.37,1.57
Summer,Jul,Wednesday,weekday,17,5 PM,casual,4784,18.46,1.59
Summer,Aug,Tuesday,weekday,8,8 AM,member,4753,11.48,1.49
Summer,Jun,Sunday,weekend,12,12 PM,member,4751,15.16,1.6
Fall,Oct,Monday,weekday,16,4 PM,member,4747,11.59,1.42
Summer,Aug,Saturday,weekend,12,12 PM,member,4733,15.37,1.59
Summer,Jun,Sunday,weekend,17,5 PM,casual,4728,23.52,1.55
Fall,Oct,Thursday,weekday,15,3 PM,member,4717,11.96,1.4
Summer,Jul,Friday,weekday,18,6 PM,member,4705,14.72,1.55
Summer,Jul,Saturday,weekend,12,12 PM,casual,4697,28.29,1.76
Fall,Sep,Thursday,weekday,17,5 PM,casual,4690,15.22,1.43
Summer,Jul,Monday,weekday,19,7 PM,member,4689,12.38,1.42
Summer,Jun,Sunday,weekend,15,3 PM,member,4679,15.83,1.66
Fall,Sep,Wednesday,weekday,19,7 PM,member,4678,11.94,1.4
Spring,Apr,Monday,weekday,18,6 PM,member,4662,13.05,1.4
Summer,Jun,Saturday,weekend,13,1 PM,casual,4644,26.01,1.66
Summer,Jun,Sunday,weekend,14,2 PM,member,4641,16.07,1.62
Spring,Apr,Monday,weekday,16,4 PM,member,4638,12.29,1.5
Fall,Sep,Wednesday,weekday,17,5 PM,casual,4638,16.77,1.43
Summer,Jun,Sunday,weekend,17,5 PM,member,4636,15.52,1.57
Summer,Aug,Saturday,weekend,16,4 PM,member,4633,14.79,1.59
Summer,Jul,Wednesday,weekday,18,6 PM,casual,4593,20.08,1.51
Spring,May,Tuesday,weekday,16,4 PM,member,4574,13.32,1.53
Summer,Aug,Friday,weekday,17,5 PM,casual,4574,20.39,1.58
Summer,Jul,Monday,weekday,8,8 AM,member,4570,11.2,1.43
Summer,Aug,Saturday,weekend,13,1 PM,member,4562,15.04,1.56
Fall,Sep,Monday,weekday,17,5 PM,casual,4552,18.02,1.37
Fall,Sep,Monday,weekday,7,7 AM,member,4543,10.66,1.43
Spring,Mar,Tuesday,weekday,17,5 PM,member,4537,12.17,1.42
Fall,Sep,Monday,weekday,19,7 PM,member,4525,11.4,1.33
Summer,Jun,Saturday,weekend,15,3 PM,casual,4523,23.77,1.62
Fall,Sep,Sunday,weekend,15,3 PM,member,4512,13.83,1.51
Fall,Oct,Thursday,weekday,7,7 AM,member,4510,10.46,1.49
Fall,Sep,Friday,weekday,15,3 PM,member,4505,11.7,1.42
Spring,Apr,Thursday,weekday,17,5 PM,member,4498,11.68,1.42
Fall,Sep,Sunday,weekend,16,4 PM,member,4498,13.57,1.44
Spring,May,Friday,weekday,15,3 PM,member,4494,12.43,1.46
Summer,Aug,Saturday,weekend,17,5 PM,member,4488,15.34,1.6
Summer,Aug,Friday,weekday,16,4 PM,casual,4487,20.5,1.55
Spring,Apr,Tuesday,weekday,18,6 PM,member,4479,12.58,1.4
Summer,Jul,Saturday,weekend,17,5 PM,casual,4474,24.75,1.66
Fall,Sep,Thursday,weekday,19,7 PM,member,4468,11.72,1.4
Fall,Oct,Wednesday,weekday,15,3 PM,member,4465,11.08,1.36
Spring,Mar,Monday,weekday,17,5 PM,member,4465,12.33,1.43
Fall,Sep,Saturday,weekend,15,3 PM,casual,4464,21.85,1.52
Summer,Aug,Saturday,weekend,11,11 AM,member,4461,14.52,1.55
Spring,May,Wednesday,weekday,19,7 PM,member,4458,13.49,1.4
Fall,Oct,Friday,weekday,18,6 PM,member,4455,12.21,1.4
Fall,Sep,Wednesday,weekday,15,3 PM,member,4451,11.64,1.42
Spring,May,Monday,weekday,17,5 PM,member,4430,14.55,1.49
Summer,Jul,Wednesday,weekday,15,3 PM,member,4418,13.71,1.47
Summer,Jun,Thursday,weekday,8,8 AM,member,4397,11.53,1.51
Fall,Sep,Saturday,weekend,13,1 PM,casual,4386,22.05,1.51
Spring,Apr,Wednesday,weekday,17,5 PM,member,4375,11.94,1.44
Fall,Oct,Monday,weekday,18,6 PM,member,4372,10.8,1.31
Summer,Jun,Wednesday,weekday,19,7 PM,member,4370,14.79,1.52
Summer,Jun,Saturday,weekend,14,2 PM,casual,4360,24.28,1.65
Summer,Jun,Friday,weekday,18,6 PM,member,4347,13.4,1.52
Spring,May,Wednesday,weekday,15,3 PM,member,4342,12.86,1.5
Summer,Jul,Wednesday,weekday,7,7 AM,member,4338,11.71,1.55
Summer,Aug,Wednesday,weekday,19,7 PM,member,4323,13.06,1.49
Fall,Sep,Saturday,weekend,14,2 PM,casual,4319,21.93,1.52
Summer,Aug,Saturday,weekend,18,6 PM,member,4310,14.36,1.52
Summer,Jun,Saturday,weekend,12,12 PM,casual,4306,26.26,1.7
Summer,Jun,Wednesday,weekday,8,8 AM,member,4302,11.41,1.52
Fall,Sep,Saturday,weekend,16,4 PM,casual,4288,21.54,1.5
Summer,Jul,Saturday,weekend,11,11 AM,casual,4280,29.19,1.78
Fall,Sep,Thursday,weekday,15,3 PM,member,4273,11.35,1.34
Winter,Feb,Thursday,weekday,17,5 PM,member,4261,12.38,1.32
Summer,Aug,Friday,weekday,19,7 PM,member,4260,13.27,1.45
Summer,Aug,Saturday,weekend,14,2 PM,member,4252,14.98,1.62
Summer,Jun,Saturday,weekend,13,1 PM,member,4242,15.04,1.6
Fall,Sep,Sunday,weekend,17,5 PM,member,4241,13.64,1.44
Summer,Jul,Friday,weekday,17,5 PM,casual,4239,22.55,1.61
Spring,Apr,Tuesday,weekday,7,7 AM,member,4233,11.0,1.51
Fall,Sep,Sunday,weekend,14,2 PM,casual,4229,23.56,1.55
Fall,Sep,Sunday,weekend,18,6 PM,member,4222,12.72,1.39
Summer,Aug,Sunday,weekend,15,3 PM,casual,4219,24.02,1.66
Fall,Sep,Monday,weekday,16,4 PM,casual,4213,18.01,1.4
Fall,Sep,Sunday,weekend,12,12 PM,casual,4211,24.9,1.53
Spring,May,Saturday,weekend,15,3 PM,casual,4209,29.24,1.74
Summer,Aug,Thursday,weekday,7,7 AM,member,4200,10.89,1.52
Summer,Aug,Friday,weekday,14,2 PM,member,4197,12.76,1.44
Summer,Aug,Friday,weekday,8,8 AM,member,4192,11.43,1.47
Spring,Mar,Wednesday,weekday,17,5 PM,member,4187,11.48,1.39
Summer,Aug,Thursday,weekday,17,5 PM,casual,4187,18.67,1.5
Summer,Jun,Saturday,weekend,16,4 PM,casual,4180,24.29,1.62
Summer,Aug,Saturday,weekend,18,6 PM,casual,4166,22.39,1.55
Summer,Aug,Wednesday,weekday,7,7 AM,member,4164,11.27,1.5
Fall,Sep,Sunday,weekend,13,1 PM,casual,4151,23.63,1.52
Spring,May,Saturday,weekend,16,4 PM,casual,4148,28.28,1.72
Summer,Jul,Tuesday,weekday,19,7 PM,member,4145,12.93,1.43
Summer,Jun,Sunday,weekend,11,11 AM,casual,4142,28.75,1.68
Summer,Jun,Saturday,weekend,12,12 PM,member,4131,14.55,1.6
Fall,Sep,Sunday,weekend,17,5 PM,casual,4123,22.46,1.46
Summer,Jun,Wednesday,weekday,17,5 PM,casual,4120,20.47,1.63
Summer,Aug,Tuesday,weekday,7,7 AM,member,4116,11.7,1.53
Summer,Jun,Wednesday,weekday,18,6 PM,casual,4114,20.07,1.54
Spring,May,Saturday,weekend,13,1 PM,casual,4107,30.64,1.84
Fall,Sep,Friday,weekday,17,5 PM,casual,4107,16.95,1.38
Fall,Sep,Saturday,weekend,12,12 PM,casual,4102,23.54,1.62
Summer,Jun,Thursday,weekday,7,7 AM,member,4098,11.67,1.57
Summer,Aug,Saturday,weekend,10,10 AM,member,4093,14.18,1.56
Summer,Jun,Sunday,weekend,11,11 AM,member,4066,15.32,1.59
Summer,Jul,Tuesday,weekday,15,3 PM,member,4056,12.27,1.46
Fall,Sep,Friday,weekday,8,8 AM,member,4054,10.36,1.39
Fall,Sep,Saturday,weekend,12,12 PM,member,4053,13.4,1.52
Fall,Sep,Saturday,weekend,14,2 PM,member,4045,13.33,1.46
Summer,Jun,Tuesday,weekday,8,8 AM,member,4036,11.86,1.52
Summer,Jul,Wednesday,weekday,20,8 PM,member,4036,13.7,1.51
Summer,Jun,Monday,weekday,8,8 AM,member,4034,11.46,1.48
Fall,Sep,Saturday,weekend,17,5 PM,casual,4031,21.59,1.46
Fall,Sep,Tuesday,weekday,19,7 PM,member,4023,11.8,1.36
Fall,Sep,Sunday,weekend,11,11 AM,member,4020,13.26,1.42
Spring,May,Tuesday,weekday,18,6 PM,member,4020,12.57,1.43
Fall,Nov,Friday,weekday,17,5 PM,member,4020,11.67,1.38
Fall,Sep,Saturday,weekend,16,4 PM,member,4015,13.33,1.47
Fall,Nov,Friday,weekday,16,4 PM,member,4006,11.64,1.35
Summer,Jul,Friday,weekday,15,3 PM,member,4005,13.67,1.49
Summer,Jun,Saturday,weekend,14,2 PM,member,3998,14.75,1.58
Summer,Jul,Saturday,weekend,12,12 PM,member,3997,15.09,1.61
Fall,Oct,Friday,weekday,15,3 PM,member,3993,12.32,1.47
Summer,Jun,Sunday,weekend,18,6 PM,member,3984,15.44,1.56
Summer,Jun,Saturday,weekend,11,11 AM,member,3977,14.24,1.57
Summer,Aug,Friday,weekday,18,6 PM,casual,3976,20.96,1.52
Spring,May,Saturday,weekend,14,2 PM,casual,3975,29.3,1.7
Summer,Jul,Thursday,weekday,8,8 AM,member,3974,11.65,1.54
Fall,Sep,Sunday,weekend,11,11 AM,casual,3971,23.33,1.56
Spring,May,Friday,weekday,19,7 PM,member,3958,13.31,1.39
Fall,Sep,Saturday,weekend,17,5 PM,member,3958,13.28,1.47
Fall,Oct,Tuesday,weekday,15,3 PM,member,3957,11.88,1.37
Summer,Aug,Sunday,weekend,13,1 PM,casual,3956,25.28,1.57
Summer,Jul,Monday,weekday,7,7 AM,member,3939,11.27,1.49
Summer,Aug,Thursday,weekday,15,3 PM,member,3938,12.13,1.43
Summer,Jun,Tuesday,weekday,19,7 PM,member,3937,13.3,1.48
Fall,Sep,Saturday,weekend,18,6 PM,member,3936,13.69,1.43
Spring,May,Wednesday,weekday,17,5 PM,casual,3934,20.41,1.59
Summer,Jun,Saturday,weekend,11,11 AM,casual,3934,26.39,1.64
Fall,Sep,Thursday,weekday,18,6 PM,casual,3918,15.36,1.38
Summer,Aug,Friday,weekday,13,1 PM,member,3913,12.79,1.32
Fall,Sep,Monday,weekday,18,6 PM,casual,3912,17.87,1.36
Summer,Jul,Friday,weekday,16,4 PM,casual,3911,22.34,1.63
Spring,May,Friday,weekday,17,5 PM,casual,3908,21.99,1.56
Fall,Sep,Saturday,weekend,15,3 PM,member,3906,13.46,1.49
Fall,Sep,Saturday,weekend,13,1 PM,member,3903,12.91,1.47
Summer,Aug,Sunday,weekend,14,2 PM,casual,3898,25.67,1.62
Spring,May,Saturday,weekend,13,1 PM,member,3895,16.27,1.61
Summer,Jun,Monday,weekday,19,7 PM,member,3887,13.09,1.44
Summer,Jun,Thursday,weekday,19,7 PM,member,3886,13.02,1.49
Summer,Jul,Saturday,weekend,13,1 PM,member,3882,15.49,1.64
Summer,Jul,Thursday,weekday,17,5 PM,casual,3881,20.64,1.62
Summer,Jul,Saturday,weekend,17,5 PM,member,3872,15.79,1.62
Summer,Aug,Sunday,weekend,12,12 PM,casual,3872,25.65,1.66
Spring,May,Thursday,weekday,7,7 AM,member,3866,11.67,1.61
Spring,May,Saturday,weekend,12,12 PM,casual,3862,29.52,1.76
Summer,Aug,Friday,weekday,12,12 PM,member,3860,11.6,1.36
Fall,Sep,Monday,weekday,14,2 PM,member,3845,11.84,1.33
Summer,Jun,Saturday,weekend,15,3 PM,member,3841,14.48,1.6
Fall,Sep,Sunday,weekend,12,12 PM,member,3841,13.28,1.45
Summer,Jul,Saturday,weekend,16,4 PM,member,3838,16.21,1.65
Summer,Jul,Saturday,weekend,14,2 PM,member,3838,15.66,1.63
Summer,Jul,Thursday,weekday,19,7 PM,member,3835,13.74,1.53
Fall,Sep,Friday,weekday,19,7 PM,member,3832,11.93,1.36
Fall,Nov,Tuesday,weekday,17,5 PM,member,3832,11.49,1.36
Summer,Aug,Sunday,weekend,16,4 PM,casual,3828,22.9,1.65
Summer,Aug,Friday,weekday,15,3 PM,casual,3823,21.52,1.6
Fall,Oct,Wednesday,weekday,19,7 PM,member,3822,10.28,1.27
Fall,Nov,Monday,weekday,17,5 PM,member,3821,10.66,1.34
Spring,May,Tuesday,weekday,8,8 AM,member,3821,11.79,1.45
Winter,Feb,Tuesday,weekday,17,5 PM,member,3820,12.8,1.46
Fall,Sep,Monday,weekday,13,1 PM,member,3820,11.8,1.28
Spring,May,Saturday,weekend,12,12 PM,member,3802,15.75,1.59
Summer,Aug,Saturday,weekend,10,10 AM,casual,3799,25.37,1.7
Summer,Jul,Saturday,weekend,18,6 PM,casual,3799,24.67,1.61
Fall,Sep,Friday,weekday,16,4 PM,casual,3799,16.7,1.41
Fall,Sep,Wednesday,weekday,18,6 PM,casual,3796,15.15,1.42
Spring,Mar,Thursday,weekday,17,5 PM,member,3792,11.21,1.36
Spring,Apr,Monday,weekday,8,8 AM,member,3792,10.67,1.4
Summer,Jun,Friday,weekday,15,3 PM,member,3789,12.98,1.51
Summer,Jul,Saturday,weekend,15,3 PM,member,3783,15.61,1.61
Summer,Jul,Tuesday,weekday,17,5 PM,casual,3768,18.81,1.56
Summer,Jul,Saturday,weekend,11,11 AM,member,3768,14.74,1.54
Spring,May,Saturday,weekend,15,3 PM,member,3768,16.05,1.61
Spring,May,Thursday,weekday,19,7 PM,member,3762,12.29,1.39
Fall,Sep,Tuesday,weekday,17,5 PM,casual,3760,15.3,1.46
Fall,Sep,Friday,weekday,18,6 PM,casual,3760,16.23,1.35
Summer,Aug,Thursday,weekday,18,6 PM,casual,3758,17.54,1.53
Summer,Jun,Saturday,weekend,10,10 AM,member,3755,14.02,1.51
Fall,Sep,Monday,weekday,12,12 PM,member,3755,11.04,1.2
Summer,Jun,Thursday,weekday,17,5 PM,casual,3751,18.12,1.59
Summer,Jun,Friday,weekday,17,5 PM,casual,3747,20.24,1.62
Spring,May,Saturday,weekend,16,4 PM,member,3745,15.86,1.61
Summer,Jul,Sunday,weekend,14,2 PM,casual,3745,25.04,1.59
Summer,Jun,Sunday,weekend,10,10 AM,member,3744,14.14,1.54
Fall,Sep,Saturday,weekend,11,11 AM,member,3743,12.95,1.45
Summer,Aug,Monday,weekday,19,7 PM,member,3738,12.86,1.42
Summer,Jul,Monday,weekday,15,3 PM,member,3736,12.16,1.44
Summer,Aug,Sunday,weekend,15,3 PM,member,3731,16.0,1.57
Fall,Sep,Sunday,weekend,18,6 PM,casual,3729,19.34,1.35
Summer,Aug,Wednesday,weekday,17,5 PM,casual,3725,17.89,1.64
Fall,Nov,Wednesday,weekday,16,4 PM,member,3717,10.82,1.34
Summer,Jun,Saturday,weekend,16,4 PM,member,3714,14.65,1.54
Spring,May,Saturday,weekend,17,5 PM,casual,3711,23.65,1.57
Spring,Apr,Thursday,weekday,16,4 PM,member,3706,11.19,1.38
Fall,Oct,Monday,weekday,8,8 AM,member,3699,10.72,1.39
Fall,Sep,Thursday,weekday,16,4 PM,casual,3695,16.46,1.36
Spring,May,Monday,weekday,16,4 PM,member,3693,13.01,1.47
Spring,May,Saturday,weekend,14,2 PM,member,3691,15.94,1.64
Fall,Sep,Monday,weekday,15,3 PM,casual,3690,19.83,1.38
Fall,Sep,Wednesday,weekday,16,4 PM,casual,3687,15.3,1.4
Summer,Jul,Friday,weekday,18,6 PM,casual,3686,22.86,1.54
Spring,May,Monday,weekday,18,6 PM,member,3683,12.65,1.38
Summer,Jul,Wednesday,weekday,19,7 PM,casual,3682,24.41,1.48
Fall,Sep,Saturday,weekend,11,11 AM,casual,3676,23.11,1.58
Spring,May,Tuesday,weekday,7,7 AM,member,3671,11.66,1.54
Fall,Sep,Saturday,weekend,18,6 PM,casual,3668,18.8,1.37
Summer,Aug,Sunday,weekend,16,4 PM,member,3667,15.64,1.57
Summer,Jul,Thursday,weekday,18,6 PM,casual,3666,21.89,1.53
Summer,Jul,Monday,weekday,17,5 PM,casual,3662,18.95,1.46
Fall,Oct,Thursday,weekday,19,7 PM,member,3658,10.81,1.32
Fall,Oct,Saturday,weekend,13,1 PM,member,3658,13.43,1.52
Summer,Jul,Wednesday,weekday,16,4 PM,casual,3653,20.03,1.53
Fall,Nov,Tuesday,weekday,8,8 AM,member,3653,10.17,1.35
Spring,Mar,Tuesday,weekday,16,4 PM,member,3642,11.62,1.44
Winter,Feb,Thursday,weekday,16,4 PM,member,3641,11.95,1.34
Fall,Sep,Tuesday,weekday,15,3 PM,member,3634,11.6,1.36
Summer,Jun,Sunday,weekend,18,6 PM,casual,3631,23.12,1.5
Summer,Aug,Sunday,weekend,13,1 PM,member,3616,14.7,1.52
Summer,Jun,Saturday,weekend,17,5 PM,casual,3614,23.05,1.56
Summer,Aug,Sunday,weekend,12,12 PM,member,3607,14.94,1.56
Fall,Oct,Saturday,weekend,14,2 PM,member,3605,13.84,1.53
Summer,Aug,Sunday,weekend,17,5 PM,member,3602,15.45,1.58
Summer,Jul,Friday,weekday,19,7 PM,member,3594,14.38,1.46
Fall,Oct,Saturday,weekend,14,2 PM,casual,3582,25.97,1.67
Summer,Jun,Tuesday,weekday,7,7 AM,member,3579,11.23,1.5
Summer,Aug,Thursday,weekday,20,8 PM,member,3575,13.04,1.5
Fall,Nov,Wednesday,weekday,8,8 AM,member,3570,10.46,1.39
Fall,Sep,Sunday,weekend,14,2 PM,member,3568,13.03,1.49
Fall,Sep,Sunday,weekend,13,1 PM,member,3562,13.29,1.44
Summer,Jun,Wednesday,weekday,7,7 AM,member,3561,11.87,1.58
Fall,Oct,Tuesday,weekday,19,7 PM,member,3558,10.9,1.33
Fall,Nov,Tuesday,weekday,16,4 PM,member,3541,11.42,1.41
Summer,Jul,Sunday,weekend,13,1 PM,member,3538,14.39,1.53
Winter,Feb,Wednesday,weekday,17,5 PM,member,3532,12.11,1.35
Summer,Aug,Monday,weekday,8,8 AM,member,3532,11.41,1.46
Summer,Jun,Wednesday,weekday,15,3 PM,member,3528,12.66,1.43
Spring,May,Saturday,weekend,17,5 PM,member,3527,15.65,1.6
Summer,Aug,Sunday,weekend,14,2 PM,member,3526,15.21,1.54
